db	kind	api	file	line	owner_doc	sql_preview	notes
auth_login	inline_literal_sql	Query	bnetserver/REST/LoginRESTService.cpp	573	bnetserver.md	SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA = SCHEMA() AND TABLE_NAME = 'battlenet_accounts' AND COLUMN_NAME = 'sha_pass_hash'	sync_api
auth_login	inline_literal_sql	Query	bnetserver/REST/LoginRESTService.cpp	580	bnetserver.md	SELECT id, sha_pass_hash, IF((salt IS null) OR (verifier IS null), 0, 1) AS shouldWarn FROM battlenet_accounts WHERE sha_pass_hash != DEFAULT(sha_pass_hash) OR salt IS NULL OR verifier IS NULL	sync_api
auth_login	dynamic_sql_candidate	Execute	bnetserver/REST/LoginRESTService.cpp	805	bnetserver.md	-	no_literal_sql_in_call;sync_api
auth_login	inline_literal_sql	Query	game/Accounts/AccountMgr.cpp	457	accounts.md	SELECT id, name FROM rbac_permissions	sync_api
auth_login	inline_literal_sql	Query	game/Accounts/AccountMgr.cpp	474	accounts.md	SELECT id, linkedId FROM rbac_linked_permissions ORDER BY id ASC	sync_api
auth_login	inline_literal_sql	PQuery	game/Accounts/AccountMgr.cpp	506	accounts.md	SELECT secId, permissionId FROM rbac_default_permissions WHERE (realmId = {} OR realmId = -1) ORDER BY secId ASC	formatted_sql;sync_api
world	inline_literal_sql	Query	game/Achievements/AchievementMgr.cpp	1134	achievements.md	SELECT AchievementId, ScriptName FROM achievement_scripts	sync_api
characters	inline_literal_sql	Query	game/Achievements/AchievementMgr.cpp	1172	achievements.md	SELECT achievement FROM character_achievement GROUP BY achievement	sync_api
world	inline_literal_sql	Query	game/Achievements/AchievementMgr.cpp	1212	achievements.md	SELECT ID, TitleA, TitleH, ItemID, Sender, Subject, Body, MailTemplateID FROM achievement_reward	sync_api
world	inline_literal_sql	Query	game/Achievements/AchievementMgr.cpp	1327	achievements.md	SELECT ID, Locale, Subject, Body FROM achievement_reward_locale	sync_api
world	inline_literal_sql	Query	game/Achievements/CriteriaHandler.cpp	4205	achievements.md	SELECT criteria_id, type, value1, value2, ScriptName FROM criteria_data	sync_api
world	inline_literal_sql	PQuery	game/AuctionHouseBot/AuctionHouseBotSeller.cpp	77	auctionhousebot.md	SELECT `item` FROM `creature_loot_template` WHERE `Reference` = 0 UNION SELECT `item` FROM `disenchant_loot_template` WHERE `Reference` = 0 UNION SELECT `item` FROM `fishing_loot_template` WHERE `Reference` = 0 UNION SEL...	formatted_sql;sync_api
auth_login	inline_literal_sql	Query	game/BattlePets/BattlePetMgr.cpp	98	battlepets.md	SELECT MAX(guid) FROM battle_pets	sync_api
world	inline_literal_sql	Query	game/BattlePets/BattlePetMgr.cpp	117	battlepets.md	SELECT speciesId, breedId FROM battle_pet_breeds	sync_api
world	inline_literal_sql	Query	game/BattlePets/BattlePetMgr.cpp	148	battlepets.md	SELECT speciesId, quality FROM battle_pet_quality	sync_api
world	inline_literal_sql	Query	game/Battlefield/BattlefieldMgr.cpp	53	battlefield.md	SELECT TypeId, ScriptName FROM battlefield_template	sync_api
characters	inline_literal_sql	DirectExecute	game/Battlegrounds/ArenaTeamMgr.cpp	94	battlegrounds.md	DELETE FROM arena_team_member WHERE arenaTeamId NOT IN (SELECT arenaTeamId FROM arena_team)	sync_api
characters	inline_literal_sql	Query	game/Battlegrounds/ArenaTeamMgr.cpp	97	battlegrounds.md	SELECT arenaTeamId, name, captainGuid, type, backgroundColor, emblemStyle, emblemColor, borderStyle, borderColor, rating, weekGames, weekWins, seasonGames, seasonWins, `rank` FROM arena_team ORDER BY arenaTeamId ASC	sync_api
characters	inline_literal_sql	Query	game/Battlegrounds/ArenaTeamMgr.cpp	107	battlegrounds.md	SELECT arenaTeamId, atm.guid, atm.weekGames, atm.weekWins, atm.seasonGames, atm.seasonWins, c.name, class, personalRating, matchMakerRating FROM arena_team_member atm INNER JOIN arena_team ate USING (arenaTeamId) LEFT JO...	sync_api
world	inline_literal_sql	Query	game/Battlegrounds/BattlegroundMgr.cpp	395	battlegrounds.md	SELECT ID, AllianceStartLoc, HordeStartLoc, StartMaxDist, Weight, ScriptName FROM battleground_template	sync_api
world	inline_literal_sql	Query	game/Battlegrounds/BattlegroundMgr.cpp	604	battlegrounds.md	SELECT entry, bg_template FROM battlemaster_entry	sync_api
world	inline_literal_sql	Query	game/BlackMarket/BlackMarketMgr.cpp	70	blackmarket.md	SELECT marketId, sellerNpc, itemEntry, quantity, minBid, duration, chance, bonusListIDs FROM blackmarket_template	sync_api
characters	inline_literal_sql	Query	game/Cache/CharacterCache.cpp	74	cache.md	SELECT guid, name, account, race, gender, class, level, deleteDate FROM characters	sync_api
characters	inline_literal_sql	Query	game/Calendar/CalendarMgr.cpp	76	calendar.md	SELECT EventID, Owner, Title, Description, EventType, TextureID, Date, Flags, LockDate FROM calendar_events	sync_api
characters	inline_literal_sql	Query	game/Calendar/CalendarMgr.cpp	109	calendar.md	SELECT InviteID, EventID, Invitee, Sender, Status, ResponseTime, ModerationRank, Note FROM calendar_invites	sync_api
characters	inline_literal_sql	Query	game/Chat/Channels/ChannelMgr.cpp	59	chat.md	SELECT name, team, announce, ownership, password, bannedList FROM channels	sync_api
world	inline_literal_sql	Query	game/Conditions/ConditionMgr.cpp	1270	conditions.md	SELECT SourceTypeOrReferenceId, SourceGroup, SourceEntry, SourceId, ElseGroup, ConditionTypeOrReference, ConditionTarget, ConditionValue1, ConditionValue2, ConditionValue3, ConditionStringValue1, NegativeCondition, Error...	sync_api
world	inline_literal_sql	Query	game/Conditions/DisableMgr.cpp	67	conditions.md	SELECT sourceType, entry, flags, params_0, params_1 FROM disables	sync_api
hotfixes	inline_literal_sql	Query	game/DataStores/DB2Stores.cpp	1543	datastores.md	SELECT Id, UniqueId, TableHash, RecordId, Status FROM hotfix_data ORDER BY Id	sync_api
hotfixes	inline_literal_sql	Query	game/DataStores/DB2Stores.cpp	1613	datastores.md	SELECT TableHash, RecordId, locale, `Blob` FROM hotfix_blob ORDER BY TableHash	sync_api
hotfixes	inline_literal_sql	Query	game/DataStores/DB2Stores.cpp	1668	datastores.md	SELECT TableHash, RecordId, locale, `Key`, `Data` FROM hotfix_optional_data ORDER BY TableHash	sync_api
world	inline_literal_sql	Query	game/DungeonFinding/LFGMgr.cpp	128	dungeonfinding.md	SELECT dungeonId, maxLevel, firstQuestId, otherQuestId FROM lfg_dungeon_rewards ORDER BY dungeonId, maxLevel ASC	sync_api
world	inline_literal_sql	Query	game/DungeonFinding/LFGMgr.cpp	216	dungeonfinding.md	SELECT dungeonId, position_x, position_y, position_z, orientation, requiredItemLevel FROM lfg_dungeon_template	sync_api
world	inline_literal_sql	Query	game/Entities/Creature/CreatureGroups.cpp	101	entities-creature.md	SELECT leaderGUID, memberGUID, dist, angle, groupAI, point_1, point_2 FROM creature_formations ORDER BY leaderGUID	sync_api
world	inline_literal_sql	Query	game/Entities/Item/ItemEnchantmentMgr.cpp	42	inventory.md	SELECT Id, EnchantmentId, Chance FROM item_random_enchantment_template	sync_api
world	inline_literal_sql	Query	game/Entities/Player/CollectionMgr.cpp	40	entities-player.md	SELECT spellId, otherFactionSpellId FROM mount_definitions	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	220	events.md	SELECT eventEntry, UNIX_TIMESTAMP(start_time), UNIX_TIMESTAMP(end_time), occurence, length, holiday, holidayStage, description, world_event, announce FROM game_event	sync_api
characters	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	292	events.md	SELECT eventEntry, state, next_start FROM game_event_save	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	336	events.md	SELECT eventEntry, prerequisite_event FROM game_event_prerequisite	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	384	events.md	SELECT guid, eventEntry FROM game_event_creature	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	434	events.md	SELECT guid, eventEntry FROM game_event_gameobject	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	483	events.md	SELECT creature.guid, creature.id, game_event_model_equip.eventEntry, game_event_model_equip.modelid, game_event_model_equip.equipment_id FROM creature JOIN game_event_model_equip ON creature.guid = game_event_model_equi...	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	538	events.md	SELECT id, quest, eventEntry FROM game_event_creature_quest	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	575	events.md	SELECT id, quest, eventEntry FROM game_event_gameobject_quest	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	612	events.md	SELECT quest, eventEntry, condition_id, num FROM game_event_quest_condition	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	651	events.md	SELECT eventEntry, condition_id, req_num, max_world_state_field, done_world_state_field FROM game_event_condition	sync_api
characters	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	689	events.md	SELECT eventEntry, condition_id, done FROM game_event_condition_save	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	733	events.md	SELECT guid, eventEntry, npcflag FROM game_event_npcflag	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	769	events.md	SELECT questId, eventEntry FROM game_event_seasonal_questrelation	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	810	events.md	SELECT eventEntry, guid, item, maxcount, incrtime, ExtendedCost, type, BonusListIDs, PlayerConditionId, IgnoreFiltering FROM game_event_npc_vendor ORDER BY guid, slot ASC	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	879	events.md	SELECT pool_template.entry, game_event_pool.eventEntry FROM pool_template JOIN game_event_pool ON pool_template.entry = game_event_pool.pool_entry	sync_api
world	inline_literal_sql	Query	game/Events/GameEventMgr.cpp	939	events.md	SELECT MAX(eventEntry) FROM game_event	sync_api
world	inline_literal_sql	PQuery	game/Events/GameEventMgr.cpp	972	events.md	SELECT eventEntry FROM game_event_arena_seasons WHERE season = '{}'	formatted_sql;sync_api
world	inline_literal_sql	Query	game/Globals/AreaTriggerDataStore.cpp	63	globals.md	SELECT AreaTriggerId, IsCustom, ActionType, ActionParam, TargetType FROM `areatrigger_template_actions`	sync_api
